Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,1277.390015,1304.000000,1268.479980,1296.119995,1296.119995,344000
2023-04-14,1294.170044,1319.979980,1289.449951,1301.880005,1301.880005,248000
2023-04-17,1301.520020,1315.880005,1285.640015,1314.739990,1314.739990,241600
2023-04-18,1320.599976,1337.750000,1315.949951,1321.469971,1321.469971,274000
2023-04-19,1305.310059,1324.199951,1302.260010,1308.290039,1308.290039,209900
2023-04-20,1288.280029,1308.290039,1285.300049,1293.770020,1293.770020,286600
2023-04-21,1296.229980,1304.280029,1268.119995,1281.920044,1281.920044,262100
2023-04-24,1282.000000,1285.989990,1252.130005,1273.619995,1273.619995,316600
2023-04-25,1261.780029,1262.310059,1227.579956,1229.550049,1229.550049,341400
2023-04-26,1241.959961,1259.989990,1232.920044,1235.630005,1235.630005,315700
2023-04-27,1257.969971,1257.969971,1233.719971,1244.920044,1244.920044,300900
2023-04-28,1248.380005,1294.270020,1237.250000,1277.489990,1277.489990,446200
2023-05-01,1263.219971,1298.729980,1260.000000,1291.650024,1291.650024,267300
2023-05-02,1292.479980,1292.479980,1242.670044,1255.739990,1255.739990,376000
2023-05-03,1267.180054,1296.729980,1256.290039,1279.989990,1279.989990,566200
2023-05-04,1326.050049,1336.810059,1196.160034,1213.380005,1213.380005,1238700
2023-05-05,1225.780029,1263.920044,1221.939941,1243.589966,1243.589966,478300
2023-05-08,1242.550049,1289.410034,1242.550049,1284.500000,1284.500000,451300
2023-05-09,1267.560059,1281.199951,1244.770020,1248.050049,1248.050049,469100
2023-05-10,1268.000000,1317.280029,1263.089966,1288.920044,1288.920044,535000
2023-05-11,1296.000000,1303.000000,1281.800049,1296.520020,1296.520020,334600
2023-05-12,1293.930054,1295.369995,1261.640015,1279.670044,1279.670044,275800
2023-05-15,1289.930054,1306.290039,1284.170044,1296.800049,1296.800049,507900
2023-05-16,1286.209961,1301.670044,1268.060059,1275.390015,1275.390015,347600
2023-05-17,1288.250000,1330.569946,1276.000000,1320.150024,1320.150024,458600
2023-05-18,1320.000000,1336.170044,1309.199951,1332.489990,1332.489990,349900
2023-05-19,1327.329956,1327.329956,1300.040039,1310.880005,1310.880005,463600
